id_ticket,id_producto,cantidad,precio_unitario,nombre,categoria,subcategoria,fecha,id_tienda,id_cliente,venta_total,mes,dia_semana
TICKET_000001,PROD_030,1,4500,Torta de Zanahoria,Alimentos,Panadería Dulce,2024-08-29,TOSTAO_15,CUST_01364,4500,August,Thursday
TICKET_000002,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-02-04,TOSTAO_18,CUST_01956,2500,February,Sunday
TICKET_000003,PROD_033,1,1500,Chocolatina,Alimentos,Panadería Dulce,2024-02-23,TOSTAO_18,CUST_01501,1500,February,Friday
TICKET_000003,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-02-23,TOSTAO_18,CUST_01501,3500,February,Friday
TICKET_000004,PROD_019,1,3200,Empanada de Carne,Alimentos,Panadería Sal,2024-10-30,TOSTAO_08,CUST_01276,3200,October,Wednesday
TICKET_000005,PROD_001,1,2500,Tinto,Bebidas,Calientes,2024-10-06,TOSTAO_13,CUST_00764,2500,October,Sunday
TICKET_000005,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-10-06,TOSTAO_13,CUST_00764,2800,October,Sunday
TICKET_000006,PROD_031,1,4500,Torta de Chocolate,Alimentos,Panadería Dulce,2024-05-08,TOSTAO_11,CUST_01496,4500,May,Wednesday
TICKET_000006,PROD_003,1,4500,Cappuccino,Bebidas,Calientes,2024-05-08,TOSTAO_11,CUST_01496,4500,May,Wednesday
TICKET_000007,PROD_023,1,3500,Croissant de Queso,Alimentos,Panadería Sal,2024-08-18,TOSTAO_09,CUST_02183,3500,August,Sunday
TICKET_000008,PROD_017,1,2800,Almojábana,Alimentos,Panadería Sal,2024-03-02,TOSTAO_12,CUST_02147,2800,March,Saturday
TICKET_000008,PROD_004,1,4800,Mocaccino,Bebidas,Calientes,2024-03-02,TOSTAO_12,CUST_02147,4800,March,Saturday
TICKET_000009,PROD_006,1,2500,Aromática,Bebidas,Calientes,2024-05-10,TOSTAO_14,CUST_00503,2500,May,Friday
TICKET_000010,PROD_015,1,2800,Pan de Bono,Alimentos,Panadería Sal,2024-06-27,TOSTAO_04,CUST_00564,2800,June,Thursday
TICKET_000011,PROD_021,1,3500,Pastel de Pollo,Alimentos,Panadería Sal,2024-06-19,TOSTAO_07,CUST_01184,3500,June,Wednesday
TICKET_000011,PROD_010,1,3500,Avena,Bebidas,Frías,2024-06-19,TOSTAO_07,CUST_01184,3500,June,Wednesday
TICKET_000012,PROD_012,1,3000,Gaseosa 400ml,Bebidas,Frías,2024-05-13,TOSTAO_12,CUST_01644,3000,May,Monday
