Combo_ID,Cluster_ID,Nombre_Cluster,Productos,Precio_Original_Total,Precio_Sugerido_Tostao,Ahorro_Cliente,Lift,Confianza,Top_3_Tiendas,Dia_Mayor_Venta
1,1,Clientes de Canasta Grande y Alto Gasto,Avena + Buñuelo,6000,5100,900,25.55,0.71,"TOSTAO_08, TOSTAO_16, TOSTAO_20",Viernes
2,1,Clientes de Canasta Grande y Alto Gasto,Café con Leche + Almojábana,6300,5355,945,17.45,0.35,"TOSTAO_19, TOSTAO_18, TOSTAO_05",Sábado
3,1,Clientes de Canasta Grande y Alto Gasto,Jugo de Naranja + Pastel de Pollo,8500,7225,1275,5.11,0.86,"TOSTAO_05, TOSTAO_11, TOSTAO_14",Viernes
4,1,Clientes de Canasta Grande y Alto Gasto,Croissant de Queso + Cappuccino,8000,6800,1200,2.32,0.94,"TOSTAO_20, TOSTAO_10, TOSTAO_09",Domingo
5,1,Clientes de Canasta Grande y Alto Gasto,Torta de Chocolate + Té Helado,8000,6800,1200,1.59,0.49,"TOSTAO_14, TOSTAO_19, TOSTAO_16",Viernes
1,2,Clientes de Canasta Surtida Moderada,Aromática + Galleta de Chispas + Sandwich de Jamón y Queso,11000,9350,1650,30.58,0.33,"TOSTAO_14, TOSTAO_03, TOSTAO_09",Lunes
2,2,Clientes de Canasta Surtida Moderada,Café con Leche + Sandwich de Jamón y Queso + Almojábana,12800,10880,1920,24.47,0.8,"TOSTAO_17, TOSTAO_15, TOSTAO_04",Domingo
3,2,Clientes de Canasta Surtida Moderada,Sandwich de Pollo + Croissant de Queso + Cappuccino,15500,13175,2325,22.94,0.62,"TOSTAO_17, TOSTAO_01, TOSTAO_16",Domingo
4,2,Clientes de Canasta Surtida Moderada,Sandwich de Pollo + Buñuelo + Avena,13500,11475,2025,20.39,0.5,"TOSTAO_06, TOSTAO_14, TOSTAO_12",Sábado
5,2,Clientes de Canasta Surtida Moderada,Croissant de Queso + Cappuccino,8000,6800,1200,19.43,0.9,"TOSTAO_17, TOSTAO_12, TOSTAO_01",Domingo
1,3,Clientes de Cantidad Focalizada,Avena + Buñuelo,6000,5100,900,11.89,0.47,"TOSTAO_16, TOSTAO_20, TOSTAO_17",Jueves
2,3,Clientes de Cantidad Focalizada,Café con Leche + Almojábana,6300,5355,945,11.18,0.58,"TOSTAO_13, TOSTAO_18, TOSTAO_08",Sábado
3,3,Clientes de Cantidad Focalizada,Croissant de Queso + Cappuccino,8000,6800,1200,9.78,0.82,"TOSTAO_20, TOSTAO_17, TOSTAO_02",Domingo
4,3,Clientes de Cantidad Focalizada,Empanada de Carne + Gaseosa 400ml,6200,5270,930,9.78,0.27,"TOSTAO_19, TOSTAO_16, TOSTAO_17",Domingo
5,3,Clientes de Cantidad Focalizada,Jugo de Naranja + Pastel de Pollo,8500,7225,1275,8.04,0.42,"TOSTAO_13, TOSTAO_17, TOSTAO_20",Sábado
